Date,Open,High,Low,Close,Adj Close,Volume
2023-07-06,1910.417114,1956.012329,1847.850708,1848.636475,1848.636475,8905008384
2023-07-07,1847.512573,1876.963257,1832.025391,1870.602539,1870.602539,6468885150
2023-07-08,1871.002075,1872.501587,1844.641724,1865.539551,1865.539551,4299007854
2023-07-09,1865.594971,1878.668945,1857.748291,1863.009766,1863.009766,4392863807
2023-07-10,1863.240234,1905.460815,1848.777222,1880.556396,1880.556396,6336468234
2023-07-11,1880.654907,1889.381714,1863.218628,1878.336060,1878.336060,4905225892
2023-07-12,1878.322021,1901.148438,1865.710083,1872.113770,1872.113770,6379007000
2023-07-13,1872.040283,2011.885254,1864.496094,2006.511475,2006.511475,11114853969
2023-07-14,2005.686157,2026.204956,1901.361206,1939.347046,1939.347046,10627449471
2023-07-15,1939.129639,1946.019165,1928.187378,1931.466553,1931.466553,4380084234
2023-07-16,1931.645020,1942.030884,1917.294067,1923.681885,1923.681885,4329306566
2023-07-17,1923.694336,1936.177612,1875.120361,1911.646118,1911.646118,6678090758
2023-07-18,1911.697021,1916.468384,1878.718506,1897.599243,1897.599243,5814708445
2023-07-19,1897.797241,1919.264404,1883.067139,1889.007935,1889.007935,6018487800
2023-07-20,1889.073730,1919.264404,1879.734375,1890.969116,1890.969116,7366830684
2023-07-21,1891.581299,1905.386230,1885.296265,1892.080078,1892.080078,4668158260
2023-07-22,1891.955078,1897.088013,1855.092773,1864.912354,1864.912354,4101305643
2023-07-23,1866.094238,1904.483276,1859.568848,1889.191650,1889.191650,4480604100
2023-07-24,1888.809570,1889.761963,1836.852417,1850.002075,1850.002075,6344373569
2023-07-25,1850.027954,1867.323242,1845.981567,1857.741943,1857.741943,4163381707
2023-07-26,1857.696533,1886.974121,1849.436890,1872.159912,1872.159912,5781548155
2023-07-27,1872.086304,1885.591553,1855.321533,1860.357178,1860.357178,4291339248
2023-07-28,1860.702515,1881.457275,1857.048950,1874.744873,1874.744873,3800973336
2023-07-29,1874.560425,1885.529297,1870.333862,1881.068848,1881.068848,2497302218
2023-07-30,1880.871582,1884.144165,1851.728027,1861.643799,1861.643799,4003005547
2023-07-31,1861.755249,1875.629395,1851.915405,1856.162354,1856.162354,4391613314
2023-08-01,1856.190186,1873.029907,1817.920776,1871.792114,1871.792114,7634860636
2023-08-02,1873.468140,1877.511475,1822.348267,1839.089722,1839.089722,6448512422
2023-08-03,1838.897949,1856.407593,1825.347778,1835.136475,1835.136475,4710581074
2023-08-04,1834.890503,1847.912231,1817.413818,1827.712891,1827.712891,4861242484
2023-08-05,1827.798584,1836.464844,1824.807983,1834.987915,1834.987915,2866049749
2023-08-06,1834.845215,1836.248901,1824.986694,1827.462036,1827.462036,2963395076
2023-08-07,1827.239502,1842.522583,1804.716675,1826.938843,1826.938843,5837881974
2023-08-08,1826.931030,1873.847168,1824.430054,1855.807373,1855.807373,5812855406
2023-08-09,1855.779419,1869.736572,1845.489746,1854.297607,1854.297607,5870081833
2023-08-10,1854.348267,1863.310913,1845.442261,1850.753418,1850.753418,3760304518
2023-08-11,1850.741699,1855.066040,1839.569214,1847.124390,1847.124390,3353025102
2023-08-12,1847.171997,1852.281006,1845.719238,1848.889893,1848.889893,2291124840
2023-08-13,1849.053833,1859.916382,1834.804321,1839.280151,1839.280151,3054625661
2023-08-14,1839.323486,1853.836304,1834.800415,1844.185791,1844.185791,4083364724
2023-08-15,1844.164185,1845.547607,1816.325073,1826.932739,1826.932739,4483923893
2023-08-16,1827.036377,1829.361206,1798.966675,1805.659058,1805.659058,4976573383
2023-08-17,1805.567383,1807.714844,1551.713257,1684.933472,1684.933472,14208462072
2023-08-18,1682.038452,1698.124268,1644.930908,1660.945068,1660.945068,9645084584
2023-08-19,1660.844360,1693.228149,1654.075806,1669.471924,1669.471924,4871231360
2023-08-20,1669.587769,1692.328735,1662.901489,1684.852051,1684.852051,4105056995
2023-08-21,1685.022339,1685.082642,1651.959839,1667.269043,1667.269043,5077248383
2023-08-22,1667.279297,1668.638672,1596.384033,1633.892578,1633.892578,7244623133
2023-08-23,1634.401733,1696.593994,1629.581055,1679.274414,1679.274414,7191868448
2023-08-24,1679.248291,1682.489746,1641.627075,1659.944580,1659.944580,5104531920
2023-08-25,1660.269897,1671.970703,1635.967407,1652.935059,1652.935059,5396997823
2023-08-26,1652.927246,1654.777710,1643.712646,1646.306763,1646.306763,2423247747
2023-08-27,1646.271973,1659.267090,1645.902832,1657.513062,1657.513062,2624065031
2023-08-28,1657.439819,1659.328735,1627.446777,1652.457397,1652.457397,4855588534
2023-08-29,1652.274170,1742.637329,1639.576172,1729.725708,1729.725708,11304916729
2023-08-30,1729.676636,1730.564697,1697.147217,1705.112183,1705.112183,5023904190
2023-08-31,1705.364502,1720.011963,1634.850952,1645.639160,1645.639160,6593153505
2023-09-01,1645.581299,1653.531738,1603.034180,1628.491211,1628.491211,6104510092
2023-09-02,1628.559692,1644.030640,1627.976074,1637.025391,1637.025391,2943590996
2023-09-03,1637.043579,1645.645142,1626.089233,1636.117676,1636.117676,3151878318
2023-09-04,1635.724731,1642.653198,1618.523682,1629.655273,1629.655273,3887968912
2023-09-05,1629.911011,1645.948364,1610.141235,1633.629395,1633.629395,4417491902
2023-09-06,1633.912109,1656.932739,1611.147705,1632.252319,1632.252319,4987397046
2023-09-07,1632.262817,1657.303711,1623.220459,1647.598267,1647.598267,4907290296
2023-09-08,1647.807617,1657.136353,1617.796509,1636.137817,1636.137817,4598495496
2023-09-09,1636.050415,1636.870728,1629.660889,1635.162354,1635.162354,2081625742
2023-09-10,1635.211670,1635.433105,1604.040527,1616.828857,1616.828857,4339499949
2023-09-11,1616.769775,1618.305786,1533.426758,1551.637695,1551.637695,7693700923
2023-09-12,1551.497803,1619.114014,1549.493774,1592.429443,1592.429443,6813819740
2023-09-13,1592.892334,1615.050293,1582.217529,1607.988525,1607.988525,4979469106
2023-09-14,1608.031616,1640.522705,1607.735352,1626.974365,1626.974365,5538958553
2023-09-15,1626.870117,1652.113159,1613.248657,1641.640381,1641.640381,4348584771
2023-09-16,1641.446411,1649.988647,1632.577881,1635.221680,1635.221680,2819575929
2023-09-17,1635.201050,1635.512939,1616.779297,1622.896729,1622.896729,3032716258
2023-09-18,1623.081909,1669.015381,1609.957397,1637.347046,1637.347046,5916674789
2023-09-19,1637.312012,1659.531738,1628.413208,1643.544678,1643.544678,4405868861
2023-09-20,1643.495361,1649.619141,1610.420776,1622.890625,1622.890625,5156431986
2023-09-21,1622.591797,1625.204590,1573.305786,1584.307007,1584.307007,5191732312
2023-09-22,1584.002563,1601.537720,1579.101318,1593.268311,1593.268311,3460791634
2023-09-23,1593.213135,1598.001709,1588.328979,1593.857788,1593.857788,2101436678
2023-09-24,1593.825684,1600.207275,1576.783325,1580.853394,1580.853394,3086456944
2023-09-25,1580.747437,1595.844116,1565.025513,1588.322876,1588.322876,4394930984
2023-09-26,1588.023193,1598.097778,1580.165527,1593.417236,1593.417236,3544861160
2023-09-27,1593.108276,1631.910767,1585.368896,1597.491211,1597.491211,5533036096
2023-09-28,1597.671997,1666.024170,1597.294678,1652.882690,1652.882690,6658092168
2023-09-29,1652.999878,1687.281250,1648.656494,1667.943848,1667.943848,5529687537
2023-09-30,1667.834473,1692.531128,1666.563843,1671.161865,1671.161865,3155292192
2023-10-01,1671.161499,1750.595703,1670.082153,1733.810425,1733.810425,5054880180
2023-10-02,1732.984009,1743.563599,1646.077637,1663.627563,1663.627563,8420552922
2023-10-03,1662.887207,1670.356323,1644.496460,1656.685669,1656.685669,4742827302
2023-10-04,1656.735962,1657.253540,1629.426636,1647.838135,1647.838135,5127524863
2023-10-05,1647.788208,1654.379028,1609.849976,1611.476440,1611.476440,5403759057
2023-10-06,1611.365723,1659.609863,1611.365723,1645.831543,1645.831543,4941208729
2023-10-07,1645.810913,1648.183716,1631.158203,1634.511230,1634.511230,2578994988
2023-10-08,1634.657349,1641.182373,1618.189209,1633.548584,1633.548584,3315554175
2023-10-09,1633.454834,1635.447876,1553.006958,1579.806641,1579.806641,7020801716
2023-10-10,1580.112061,1593.741333,1553.031738,1567.713013,1567.713013,5254966125
2023-10-11,1567.680786,1578.223511,1548.980469,1566.254761,1566.254761,5416504273
2023-10-12,1566.355957,1566.878174,1523.237549,1539.612427,1539.612427,5003930677
2023-10-13,1539.432861,1571.750610,1537.921143,1552.089478,1552.089478,4575141511
2023-10-14,1552.263794,1560.325073,1545.738770,1555.256836,1555.256836,2429214718
2023-10-15,1555.076050,1565.760864,1550.554565,1558.069824,1558.069824,2923337883
2023-10-16,1558.313477,1628.156250,1555.989624,1600.534302,1600.534302,8846928526
2023-10-17,1600.635620,1601.294678,1554.402954,1565.439575,1565.439575,5032686973
2023-10-18,1565.382813,1584.726929,1556.736328,1563.749878,1563.749878,4354138855
2023-10-19,1563.958130,1573.737671,1543.585083,1567.457031,1567.457031,5035110867
2023-10-20,1567.570923,1628.609009,1562.302856,1604.666870,1604.666870,6747486127
2023-10-21,1604.822266,1641.241821,1593.447998,1629.304443,1629.304443,4212179634
2023-10-22,1629.297729,1667.666626,1623.984741,1663.429932,1663.429932,5248406817
2023-10-23,1674.849243,1794.070435,1663.447998,1765.382690,1765.382690,14362295879
2023-10-24,1766.014648,1852.684448,1758.690063,1784.437500,1784.437500,15888690475
2023-10-25,1784.905029,1814.484741,1762.147095,1787.397583,1787.397583,9439066475
2023-10-26,1787.481934,1865.095215,1764.013062,1804.039307,1804.039307,11196672635
2023-10-27,1803.794922,1804.135864,1751.440063,1780.045288,1780.045288,7493399771
2023-10-28,1780.084229,1800.605347,1773.436646,1776.618164,1776.618164,4226112731
2023-10-29,1776.563965,1810.488647,1766.052979,1795.546021,1795.546021,4358528382
2023-10-30,1795.589111,1829.249512,1779.364502,1810.088623,1810.088623,7534051038
2023-10-31,1810.131592,1819.972656,1784.567627,1816.458984,1816.458984,6477922747
2023-11-01,1815.872070,1858.312866,1786.409546,1847.089722,1847.089722,10628825648
2023-11-02,1847.259888,1873.885010,1790.114746,1800.620972,1800.620972,9004197724
2023-11-03,1800.916504,1835.072510,1779.635498,1832.795166,1832.795166,7622864055
2023-11-04,1833.368896,1867.261353,1825.736572,1857.698608,1857.698608,4845080427
2023-11-05,1857.395630,1911.608643,1848.620117,1894.157715,1894.157715,8867152645
2023-11-06,1894.027100,1914.582642,1871.973022,1899.837402,1899.837402,8104122602
2023-11-07,1900.599731,1907.561401,1852.790894,1888.124268,1888.124268,9203228152
2023-11-08,1887.119019,1904.546265,1874.545654,1889.322388,1889.322388,6751627017
2023-11-09,1888.940308,2130.885254,1884.204346,2120.561035,2120.561035,24709695029
2023-11-10,2121.067383,2134.691406,2068.134277,2078.289795,2078.289795,14740624457
2023-11-11,2078.058350,2089.530518,2035.082153,2052.713867,2052.713867,10228351203
2023-11-12,2053.118652,2066.003418,2019.028076,2045.187012,2045.187012,7951011698
2023-11-13,2045.354492,2116.010742,2031.954224,2055.265381,2055.265381,14322027970
2023-11-14,2054.765381,2065.066895,1939.280396,1979.052612,1979.052612,13087862495
2023-11-15,1979.472656,2061.991699,1968.774658,2060.408447,2060.408447,12626326991
2023-11-16,2059.965820,2088.662354,1940.574219,1960.881592,1960.881592,14651619483
2023-11-17,1961.867554,1990.050537,1910.445435,1961.280762,1961.280762,11881648738
2023-11-18,1961.671265,1971.462280,1921.062378,1963.285034,1963.285034,8064677046
2023-11-19,1963.180054,2015.633911,1944.900879,2013.204468,2013.204468,7716048818
2023-11-20,2011.853394,2066.409912,1996.044312,2022.239136,2022.239136,12866464824
2023-11-21,2022.217285,2035.035889,1937.066772,1937.066772,1937.066772,13653500841
2023-11-22,1933.583130,2089.514160,1933.162964,2064.425293,2064.425293,13372200584
2023-11-23,2063.905518,2088.031982,2041.464233,2062.210693,2062.210693,7828437946
2023-11-24,2062.411865,2132.481201,2060.999023,2081.152100,2081.152100,12141148820
2023-11-25,2081.296143,2091.342773,2067.917236,2084.413086,2084.413086,5362623390
2023-11-26,2084.177490,2094.095947,2038.600464,2063.286133,2063.286133,8054814154
2023-11-27,2062.390869,2070.606201,1988.120361,2027.417358,2027.417358,10574810069
2023-11-28,2027.517212,2074.954102,1996.814697,2049.338135,2049.338135,9910633038
2023-11-29,2049.186768,2071.994385,2020.756592,2029.929199,2029.929199,8945151861
2023-11-30,2029.358398,2054.444336,2022.461792,2052.556152,2052.556152,8107789163
2023-12-01,2052.096680,2109.319092,2046.557007,2087.139893,2087.139893,10866891430
2023-12-02,2087.663574,2182.817871,2087.407959,2165.704102,2165.704102,9130124831
2023-12-03,2165.895752,2213.175781,2151.720947,2193.691650,2193.691650,8278465782
2023-12-04,2193.663330,2273.069824,2193.007324,2243.215820,2243.215820,16149367134
2023-12-05,2243.092529,2306.570313,2191.176270,2293.841797,2293.841797,15383072559
2023-12-06,2293.628174,2310.713135,2225.081055,2231.661377,2231.661377,12790612571
2023-12-07,2233.217773,2380.729736,2225.050537,2357.579590,2357.579590,14766891042
2023-12-08,2357.169189,2387.514404,2340.920410,2358.731934,2358.731934,12543458699
2023-12-09,2358.686035,2401.760498,2331.666016,2341.175293,2341.175293,10613312823
2023-12-10,2341.440186,2376.749756,2323.405762,2352.462646,2352.462646,7369608905
2023-12-11,2352.496582,2354.914063,2160.358154,2224.578857,2224.578857,17989249470
2023-12-12,2224.391113,2242.551270,2166.770020,2202.038086,2202.038086,11391132228
2023-12-13,2202.600342,2283.099121,2150.754395,2260.648682,2260.648682,12576395493
2023-12-14,2260.736084,2331.601563,2239.366211,2316.579102,2316.579102,12608711052
2023-12-15,2316.110352,2316.892822,2214.263184,2219.337402,2219.337402,10259157898
2023-12-16,2220.415527,2260.809814,2213.550781,2226.926514,2226.926514,6866555430
2023-12-17,2226.892578,2244.366455,2195.761719,2196.481201,2196.481201,7410453853
2023-12-18,2195.341797,2222.019287,2120.127441,2217.273438,2217.273438,10366536490
2023-12-19,2218.240967,2253.348877,2139.723389,2177.872559,2177.872559,10619179629
2023-12-20,2177.239502,2263.329102,2161.218750,2201.911377,2201.911377,12652290807
2023-12-21,2201.790039,2278.121582,2184.856689,2239.542480,2239.542480,12616530536
2023-12-22,2239.598145,2341.947510,2233.532715,2326.524902,2326.524902,16137246310
2023-12-23,2326.715820,2332.072021,2270.428955,2309.046387,2309.046387,7995772945
2023-12-24,2309.626709,2325.705078,2249.984375,2265.692139,2265.692139,9450799236
2023-12-25,2265.340576,2303.551025,2254.574463,2272.561768,2272.561768,8036302656
2023-12-26,2272.218750,2274.557373,2180.225342,2231.465332,2231.465332,10668581464
